epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4,1.83888,3.83415,1.45481,0.76986,0.06199,0.08415,0.05567,1.38809,4.03708,1.20364,0.000157572,0.000157572,0.000157572
2,52.7441,1.55859,2.32662,1.24108,0.74047,0.08766,0.19391,0.12231,1.40265,3.705,1.19086,0.000309978,0.000309978,0.000309978
3,77.6003,1.45255,1.88195,1.17288,0.39144,0.24864,0.25197,0.16406,1.31225,2.97578,1.13443,0.000456099,0.000456099,0.000456099
4,102.364,1.36245,1.59226,1.13383,0.27751,0.3009,0.30328,0.17478,1.4745,3.00292,1.17909,0.000447726,0.000447726,0.000447726
5,127.135,1.30408,1.38754,1.10994,0.43631,0.2051,0.30417,0.21173,1.22377,2.69859,1.0973,0.000438301,0.000438301,0.000438301
6,152.07,1.27008,1.2579,1.08988,0.44923,0.36762,0.34394,0.23618,1.19471,2.33641,1.08826,0.000428876,0.000428876,0.000428876
7,177.13,1.2271,1.21762,1.07268,0.61016,0.3035,0.37699,0.25507,1.16602,2.48932,1.09175,0.000419451,0.000419451,0.000419451
8,202.098,1.23137,1.11096,1.06594,0.59041,0.27408,0.36404,0.24849,1.24957,2.2638,1.13326,0.000410026,0.000410026,0.000410026
9,227.489,1.20301,1.0437,1.05356,0.5487,0.33228,0.38154,0.25797,1.15822,2.13544,1.08927,0.000400602,0.000400602,0.000400602
10,253.126,1.19052,0.99737,1.05341,0.5672,0.30084,0.38232,0.23552,1.42874,2.18218,1.14389,0.000391177,0.000391177,0.000391177
11,278.754,1.16985,0.96434,1.03259,0.52588,0.39381,0.40347,0.28058,1.19779,1.98808,1.09032,0.000381752,0.000381752,0.000381752
12,304.424,1.16998,0.91821,1.03654,0.67781,0.3608,0.40525,0.28834,1.10801,1.90746,1.07168,0.000372327,0.000372327,0.000372327
13,330.13,1.17268,0.90397,1.03033,0.51638,0.38685,0.38606,0.26717,1.19988,1.86114,1.06738,0.000362902,0.000362902,0.000362902
14,354.771,1.13375,0.86755,1.02499,0.56395,0.37557,0.39207,0.27463,1.16871,1.84932,1.07185,0.000353478,0.000353478,0.000353478
15,379.656,1.1368,0.8689,1.01706,0.70282,0.31732,0.41601,0.29255,1.16724,1.8269,1.08034,0.000344053,0.000344053,0.000344053
16,404.848,1.13278,0.83893,1.01842,0.59568,0.35376,0.41073,0.28349,1.16853,1.80302,1.09027,0.000334628,0.000334628,0.000334628
17,429.595,1.11666,0.81477,1.01517,0.5664,0.36678,0.41237,0.28716,1.1281,1.755,1.07551,0.000325203,0.000325203,0.000325203
18,454.222,1.10786,0.79714,1.00843,0.62471,0.36246,0.43944,0.31049,1.13931,1.71552,1.0722,0.000315778,0.000315778,0.000315778
19,479.455,1.08724,0.77025,1.00872,0.56388,0.36962,0.40898,0.29603,1.12779,1.78047,1.07303,0.000306354,0.000306354,0.000306354
20,504.115,1.09505,0.76019,1.01041,0.57272,0.3755,0.41208,0.29694,1.11219,1.71698,1.06328,0.000296929,0.000296929,0.000296929
21,528.883,1.07272,0.74352,0.99506,0.59401,0.37916,0.44071,0.30802,1.11793,1.80453,1.05719,0.000287504,0.000287504,0.000287504
22,553.712,1.07333,0.74386,0.99642,0.76689,0.35367,0.43298,0.29844,1.16869,1.63525,1.0705,0.000278079,0.000278079,0.000278079
23,578.344,1.0905,0.73245,0.99752,0.66742,0.34947,0.43072,0.28548,1.26538,1.70984,1.10151,0.000268654,0.000268654,0.000268654
24,603.145,1.05718,0.70822,0.98503,0.5954,0.3555,0.42856,0.28842,1.1921,1.68742,1.07064,0.00025923,0.00025923,0.00025923
25,627.85,1.06123,0.71371,0.9799,0.56565,0.42633,0.43128,0.30056,1.18232,1.61472,1.08955,0.000249805,0.000249805,0.000249805
26,652.647,1.0515,0.69842,0.98754,0.60555,0.39012,0.43576,0.30214,1.14261,1.70514,1.06898,0.00024038,0.00024038,0.00024038
27,677.375,1.03595,0.68591,0.9805,0.6178,0.37329,0.42594,0.30657,1.13313,1.65327,1.07143,0.000230955,0.000230955,0.000230955
28,702.192,1.03252,0.69244,0.98238,0.66085,0.38903,0.4277,0.3084,1.12308,1.6591,1.04996,0.00022153,0.00022153,0.00022153
29,726.98,1.04934,0.68621,0.9787,0.55899,0.45797,0.46657,0.31592,1.13012,1.61475,1.06588,0.000212106,0.000212106,0.000212106
30,752.24,1.04344,0.67505,0.97766,0.58113,0.38277,0.42991,0.30067,1.15398,1.64942,1.06474,0.000202681,0.000202681,0.000202681
31,777.124,1.02939,0.65386,0.97364,0.77481,0.34591,0.44172,0.31632,1.11172,1.58438,1.07585,0.000193256,0.000193256,0.000193256
32,802.594,1.00496,0.6445,0.96657,0.60096,0.38437,0.41967,0.29472,1.14359,1.60597,1.07543,0.000183831,0.000183831,0.000183831
33,827.527,1.00679,0.63923,0.97328,0.58952,0.39099,0.43319,0.308,1.13711,1.58762,1.06534,0.000174406,0.000174406,0.000174406
34,852.271,1.00099,0.6423,0.96678,0.62269,0.36305,0.4206,0.30454,1.09904,1.63316,1.06465,0.000164982,0.000164982,0.000164982
35,876.988,1.01347,0.65419,0.97681,0.58351,0.40508,0.43131,0.30418,1.14822,1.58069,1.06238,0.000155557,0.000155557,0.000155557
36,901.719,0.99734,0.62837,0.96025,0.6551,0.3821,0.42473,0.30192,1.12541,1.57728,1.04713,0.000146132,0.000146132,0.000146132
37,926.681,0.99576,0.62852,0.96674,0.61638,0.39938,0.45224,0.31643,1.14119,1.54454,1.0713,0.000136707,0.000136707,0.000136707
38,951.861,0.98432,0.62348,0.96266,0.62394,0.36356,0.43805,0.3148,1.13355,1.59975,1.0632,0.000127282,0.000127282,0.000127282
39,976.986,0.99397,0.63677,0.96378,0.72651,0.43107,0.49891,0.32995,1.11343,1.53102,1.05377,0.000117858,0.000117858,0.000117858
40,1002.59,0.98539,0.61295,0.96105,0.66204,0.37523,0.45138,0.32315,1.11649,1.58435,1.04432,0.000108433,0.000108433,0.000108433
41,1028.54,0.89469,0.50139,0.90969,0.63161,0.39558,0.44481,0.3204,1.13415,1.54837,1.05991,9.9008e-05,9.9008e-05,9.9008e-05
42,1053.13,0.89242,0.49006,0.91013,0.60538,0.39867,0.45585,0.32021,1.19846,1.57512,1.06724,8.95832e-05,8.95832e-05,8.95832e-05
43,1077.78,0.88299,0.48541,0.90795,0.62777,0.36906,0.43548,0.31808,1.10092,1.58514,1.05154,8.01584e-05,8.01584e-05,8.01584e-05
44,1102.49,0.8842,0.4793,0.90801,0.62429,0.38589,0.44028,0.31298,1.13301,1.6031,1.05681,7.07336e-05,7.07336e-05,7.07336e-05
45,1127.16,0.87586,0.4704,0.90854,0.53916,0.41562,0.44037,0.31185,1.16538,1.61183,1.07128,6.13088e-05,6.13088e-05,6.13088e-05
46,1151.91,0.8603,0.47037,0.89956,0.59005,0.39957,0.45286,0.31875,1.16536,1.58231,1.07065,5.1884e-05,5.1884e-05,5.1884e-05
47,1176.54,0.86575,0.46261,0.90149,0.62023,0.38153,0.45302,0.32205,1.13638,1.59575,1.06755,4.24592e-05,4.24592e-05,4.24592e-05
48,1201.12,0.86618,0.45824,0.897,0.62908,0.38024,0.4392,0.3086,1.16538,1.604,1.0649,3.30344e-05,3.30344e-05,3.30344e-05
49,1225.66,0.86089,0.45376,0.90191,0.61476,0.39144,0.44897,0.31591,1.14615,1.62998,1.06145,2.36096e-05,2.36096e-05,2.36096e-05
50,1250.05,0.8569,0.45433,0.89531,0.63566,0.39909,0.43333,0.30544,1.14112,1.61077,1.06275,1.41848e-05,1.41848e-05,1.41848e-05
